,str_player_name,str_positions,dt_date_of_birth,int_best_overall_rating,age,new_column,new_column_plus
96,Miralem Pjanić,CM,1990-04-02,85,31,1,6
97,Dries Mertens,"CF, ST",1987-05-06,85,34,1,6
98,Thiago Emiliano da Silva,CB,1984-09-22,85,36,1,6
99,Erling Braut Haaland,ST,2000-07-21,85,21,1,6
100,Lautaro Javier Martínez,ST,1997-08-22,86,24,1,6
101,Arthur Henrique Ramos de Oliveira Melo,CM,1996-08-12,86,25,1,6
102,Mikel Oyarzabal Ugarte,"LW, RW",1997-04-21,85,24,1,6
103,Onyinye Wilfred Ndidi,"CDM, CM",1996-12-16,87,24,1,6
104,André Onana,GK,1996-04-02,84,25,1,6
105,José María Giménez de Vargas,CB,1995-01-20,86,26,1,6
106,Marcelo Brozović,"CDM, CM",1992-11-16,84,28,1,6
107,Kingsley Coman,"LM, RM, LW",1996-06-13,86,25,1,6
108,Alex Nicolao Telles,LB,1992-12-15,84,28,1,6
109,Julian Brandt,"CAM, CM",1996-05-02,87,25,1,6
110,Niklas Süle,CB,1995-09-03,85,25,1,6
111,Anthony Martial,ST,1995-12-05,86,25,1,6
112,Nicolás Alejandro Tagliafico,LB,1992-08-31,84,28,1,6
113,Alejandro Grimaldo García,LB,1995-09-20,85,25,1,6
114,Thomas Teye Partey,CM,1993-06-13,86,28,1,6
115,Raphaël Adelino José Guerreiro,"LM, LB, CM",1993-12-22,85,27,1,6
116,Saúl Ñíguez Esclápez,"CM, LM, LB",1994-11-21,86,26,1,6
117,Felipe Augusto de Almeida Monteiro,CB,1989-05-16,84,32,1,6
118,Marcel Sabitzer,"CM, CDM, CAM",1994-03-17,84,27,1,6
119,Raúl Alonso Jiménez Rodríguez,ST,1991-05-05,84,30,1,6
120,Memphis Depay,"CF, LW, CAM",1994-02-13,86,27,1,6
121,Josip Iličić,"CF, ST",1988-01-29,85,33,1,6
122,Lucas Digne,"LB, CB",1993-07-20,84,28,1,6
123,Wissam Ben Yedder,ST,1990-08-12,85,31,1,6
124,Stefan de Vrij,CB,1992-02-05,84,29,1,6
125,Luís Miguel Afonso Fernandes,"RM, CM",1989-10-06,84,31,1,6
126,Francisco Román Alarcón Suárez,"CAM, CM, LW",1992-04-21,84,29,1,6
127,David Olatukunbo Alaba,"CB, LB",1992-06-24,84,29,1,6
128,Idrissa Gana Gueye,"CDM, CM",1989-09-26,84,31,1,6
129,Jesús Manuel Corona Ruíz,"RM, RB",1993-01-06,84,28,1,6
130,Iago Aspas Juncal,"ST, RW",1987-08-01,84,34,1,6
131,Douglas Costa de Souza,"LM, RW, LW",1990-09-14,84,30,1,6
132,Roman Bürki,GK,1990-11-14,84,30,1,6
133,José María Callejón Bueno,"RM, RW",1987-02-11,84,34,1,6
134,César Azpilicueta Tanco,"RB, LB",1989-08-28,84,31,1,6
135,Edinson Roberto Cavani Gómez,ST,1987-02-14,84,34,1,6
136,Rui Pedro dos Santos Patrício,GK,1988-02-15,84,33,1,6
137,Axel Witsel,"CDM, CM",1989-01-12,84,32,1,6
138,Lucas Pezzini Leiva,CDM,1987-01-09,84,34,1,6
139,Salvatore Sirigu,GK,1987-01-12,84,34,1,6
140,Kasper Schmeichel,GK,1986-11-05,84,34,1,6
141,Jesús Navas González,"RB, RM",1985-11-21,84,35,1,6
142,Fernando Luiz Rosa,"CB, CDM",1985-05-04,84,36,1,6
143,Federico Santiago Valverde Dipetta,CM,1998-07-22,84,23,1,6
144,Achraf Hakimi Mouh,RM,1998-11-04,84,22,1,6
145,Ousmane Dembélé,"LW, RW",1997-05-15,85,24,1,6
146,Gabriel Fernando de Jesus,ST,1997-04-03,85,24,1,6
147,Ronaldo Jailson Cabrais Petri,"CAM, RM",1992-02-29,84,29,1,6
148,Aaron Wan-Bissaka,"RB, RWB",1997-11-26,83,23,1,6
149,Denis Lemi Zakaria Lako Lado,"CDM, CB",1996-11-20,84,24,1,6
150,Ferland Mendy,LB,1995-06-08,83,26,1,6
151,Nélson Cabral Semedo,RB,1993-11-16,84,27,1,6
152,Steven Bergwijn,"LM, LW, RM",1997-10-08,84,23,1,6
153,Joe Gomez,CB,1997-05-23,84,24,1,6
154,Marcos Javier Acuña,"LB, LM",1991-10-28,83,29,1,6
155,Martin Ødegaard,"CAM, CM",1998-12-17,85,22,1,6
156,Donny van de Beek,"CM, CAM",1997-04-18,85,24,1,6
157,Pau López Sabata,GK,1994-12-13,83,26,1,6
158,Martin Dúbravka,GK,1989-01-15,83,32,1,6
159,Diego Carlos Santos Silva,CB,1993-03-15,84,28,1,6
160,Nabil Fekir,"CAM, RM, ST",1993-07-18,84,28,1,6
161,Rafael Alexandre Fernandes Ferreira da Silva,"LM, RM",1993-05-17,83,28,1,6
162,Duván Esteban Zapata Banguera,ST,1991-04-01,83,30,1,6
163,Thomas Strakosha,GK,1995-03-19,83,26,1,6
164,José Luís Gayà Peña,LB,1995-05-25,84,26,1,6
165,Bamidele Alli,"CAM, CM",1996-04-11,86,25,1,6
166,João Pedro Cavaco Cancelo,RB,1994-05-27,84,27,1,6
167,Alessio Romagnoli,CB,1995-01-12,85,26,1,6
168,Filip Kostić,"LM, LWB",1992-11-01,83,28,1,6
169,Gerard Moreno Balagueró,"ST, RM, CF",1992-04-07,83,29,1,6
170,Mateo Kovačić,"CM, CDM",1994-05-06,86,27,1,6
171,Edin Višća,RM,1990-02-17,83,31,1,6
172,Samuel Yves Umtiti,CB,1993-11-14,85,27,1,6
173,Luiz Frello Filho Jorge,"CM, CDM",1991-12-20,83,29,1,6
174,Cristian Portugués Manzanera,"RW, RM, CF",1992-05-21,83,29,1,6
175,Juan Bernat Velasco,"LB, LM",1993-03-01,83,28,1,6
176,Thorgan Hazard,"LM, CF, RM",1993-03-29,83,28,1,6
177,Allan Marques Loureiro,"CM, CDM",1991-01-08,85,30,1,6
178,Francesco Acerbi,CB,1988-02-10,83,33,1,6
179,Sergio Roberto Carnicer,"RB, CM",1992-02-07,83,29,1,6
180,Anthony Lopes,GK,1990-10-01,83,30,1,6
181,Dušan Tadić,"CF, LW, CAM",1988-11-20,83,32,1,6
182,Charles Mariano Aránguiz Sandoval,"CDM, CM",1989-04-17,83,32,1,6
183,Wilfried Zaha,"LM, CF",1992-11-10,83,28,1,6
184,Joël Andre Job Matip,CB,1991-08-08,84,30,1,6
185,Aitor Fernández Abarisketa,GK,1991-05-03,83,30,1,6
186,Alexandre Lacazette,ST,1991-05-28,83,30,1,6
187,Koen Casteels,GK,1992-06-25,83,29,1,6
188,Konstantinos Manolas,CB,1991-06-14,83,30,1,6
189,Lukáš Hrádecký,GK,1989-11-24,83,31,1,6
190,Iker Muniain Goñi,"LW, CAM, RW",1992-12-19,83,28,1,6
191,Philippe Coutinho Correia,"CAM, LW, CM",1992-06-12,83,29,1,6
192,Kevin Trapp,GK,1990-07-08,83,31,1,6
193,Oscar dos Santos Emboaba Júnior,"CAM, CM, LW",1991-09-09,83,29,1,6
194,José Paulo Bezzera Maciel Júnior,"CM, CAM, CDM",1988-07-25,83,33,1,6
195,İlkay Gündoğan,"CM, CDM",1990-10-24,83,30,1,6
196,Kieran Trippier,RB,1990-09-19,83,30,1,6
197,Fernando Francisco Reges,"CDM, CM",1987-07-25,83,34,1,6
198,Jérôme Boateng,CB,1988-09-03,83,32,1,6
199,Yuri Berchiche Izeta,LB,1990-02-10,83,31,1,6
200,Arturo Erasmo Vidal Pardo,"CM, CDM, CAM",1987-05-22,83,34,1,6
201,Edin Džeko,ST,1986-03-17,83,35,1,6
202,Éver Maximiliano David Banega,"CM, CDM",1988-06-29,83,33,1,6
203,Radja Nainggolan,"CAM, CM, CF",1988-05-04,85,33,1,6
204,Marcelo Vieira da Silva Júnior,LB,1988-05-12,83,33,1,6
205,Gareth Frank Bale,RW,1989-07-16,83,32,1,6
206,Jan Bert Lieve Vertonghen,"CB, LB",1987-04-24,83,34,1,6
207,Blaise Matuidi,"CDM, CM",1987-04-09,83,34,1,6
208,Carlos Alberto Vela Garrido,"RW, LW, CAM",1989-03-01,83,32,1,6
209,Renato Soares de Oliveira Augusto,"CM, CAM, LM",1988-02-08,83,33,1,6
210,Gonzalo Gerardo Higuaín,ST,1987-12-10,83,33,1,6
211,Steve Mandanda,GK,1985-03-28,83,36,1,6
212,João Filipe Iria Santos Moutinho,CM,1986-09-08,83,34,1,6
213,Zlatan Ibrahimović,ST,1981-10-03,83,39,1,6
214,Sergio Reguilón Rodríguez,"LB, LM",1996-12-16,82,24,1,6
215,Jiří Pavlenka,GK,1992-04-14,82,29,1,6
216,Houssem Aouar,"CM, LM",1998-06-30,85,23,1,6
217,Josué Durval Chiamulera Vaz,CB,1992-02-29,82,29,1,6
218,Raphael William Anjos Rochedo,GK,1988-02-29,82,33,1,6
219,Fabián Ruiz Peña,CM,1996-04-03,84,25,1,6
220,Giovani Lo Celso,"CM, CAM",1996-04-09,84,25,1,6
221,Marcos Llorente Moreno,"CM, RM, ST",1995-01-30,84,26,1,6
222,Nicolas Pépé,"RM, RW",1995-05-29,83,26,1,6
223,Presnel Kimpembe,CB,1995-08-13,84,26,1,6
224,Konrad Laimer,"CDM, CM, RB",1997-05-27,83,24,1,6
225,Rúben Diogo da Silva Neves,CM,1997-03-13,83,24,1,6
226,David Soria Solís,GK,1993-04-04,82,28,1,6
227,Robin Gosens,LM,1994-07-05,82,27,1,6
228,Marco Asensio Willemsen,"LW, RW",1996-01-21,84,25,1,6
229,Lucas Hernández Pi,"CB, LB",1996-02-14,85,25,1,6
230,Djené Dakonam Ortega,CB,1991-12-31,83,29,1,6
231,Andrej Kramarić,"ST, CAM",1991-06-19,82,30,1,6
232,Mike Maignan,GK,1995-07-03,82,26,1,6
233,Gerónimo Rulli,GK,1992-05-20,82,29,1,6
234,Ángel Martín Correa,"RM, ST",1995-03-09,84,26,1,6
235,Anderson Souza Conceição,"CAM, RW",1994-02-01,84,27,1,6
236,Marcel Halstenberg,"LB, CB, LWB",1991-09-27,82,29,1,6
237,Fernando Pacheco Flores,GK,1992-05-18,82,29,1,6
238,Yannick Ferreira Carrasco,LM,1993-09-04,82,27,1,6
239,Emre Can,"CM, CB, CDM",1994-01-12,86,27,1,6
240,Matthias Ginter,CB,1994-01-19,83,27,1,6
241,Lucas Ariel Ocampos,"RW, LW",1994-07-11,84,27,1,6
242,Florian Thauvin,"RW, RM",1993-01-26,82,28,1,6
243,Tomáš Vaclík,GK,1989-03-29,82,32,1,6
244,Nick Pope,GK,1992-04-19,82,29,1,6
245,Harry Maguire,CB,1993-03-05,84,28,1,6
246,Karim Bellarabi,"RM, RW",1990-04-08,82,31,1,6
247,Gabriel Armando de Abreu,CB,1990-11-26,83,30,1,6
248,Álvaro Borja Morata Martín,ST,1992-10-23,83,28,1,6
249,Agustín Federico Marchesín,GK,1988-03-16,82,33,1,6
250,Lucas Rodrigues Moura da Silva,"RM, CF",1992-08-13,82,29,1,6
251,Danilo Luís Hélio Pereira,"CDM, CM",1991-09-09,82,29,1,6
252,Steven Berghuis,RW,1991-12-19,82,29,1,6
253,James David Rodríguez Rubio,"CAM, RW",1991-07-12,82,30,1,6
254,Rodrigo Moreno Machado,"ST, CAM",1991-03-06,82,30,1,6
255,Mattia Perin,GK,1992-11-10,82,28,1,6
256,Norberto Murara Neto,GK,1989-07-19,82,32,1,6
257,Oliver Baumann,GK,1990-06-02,82,31,1,6
258,Mário Figueira Fernandes,"RWB, RM",1990-09-19,82,30,1,6
259,Alphonse Areola,GK,1993-02-27,82,28,1,6
260,Daley Blind,"CB, CDM, LB",1990-03-09,82,31,1,6
261,Sergio Canales Madrazo,"CM, LM, RM",1991-02-16,83,30,1,6
262,Aaron Ramsey,"CM, CAM",1990-12-26,82,30,1,6
263,Aleksandar Kolarov,LB,1985-11-10,82,35,1,6
264,Marko Arnautović,ST,1989-04-19,82,32,1,6
265,Néstor Fernando Muslera Micol,GK,1986-06-16,82,35,1,6
266,Ivan Perišić,"LM, LW",1989-02-02,82,32,1,6
267,Willian Borges da Silva,"RW, LW, RM",1988-08-09,82,33,1,6
268,Sergio Asenjo Andrés,GK,1989-06-28,82,32,1,6
269,Lars Bender,"RB, CDM, CM",1989-04-27,82,32,1,6
270,Dimitri Payet,"LW, CAM",1987-03-29,82,34,1,6
271,Mesut Özil,"CAM, RW",1988-10-15,82,32,1,6
272,Ivan Rakitić,CM,1988-03-10,82,33,1,6
273,Raúl Albiol Tortajada,CB,1985-09-04,82,35,1,6
274,Gianluigi Buffon,GK,1978-01-28,82,43,1,6
275,Renan Augusto Lodi dos Santos,LB,1998-04-08,81,23,1,6
276,João Félix Sequeira,"CF, ST",1999-11-10,83,21,1,6
277,Moussa Diaby,"LM, LW",1999-07-07,82,22,1,6
278,Dominik Livaković,GK,1995-01-09,81,26,1,6
279,Ferran Torres García,"RM, LM, CF",2000-02-29,82,21,1,6
280,Rúben dos Santos Gato Alves Dias,CB,1997-05-14,83,24,1,6
281,Marc Cucurella Saseta,"LM, LB",1998-07-22,82,23,1,6
282,Tomáš Souček,"CDM, CM",1995-02-27,82,26,1,6
283,Manuel Lazzari,RM,1993-11-29,81,27,1,6
284,Alphonso Davies,"LB, LM, RM",2000-11-02,81,20,1,6
285,Raphael Dias Belloli,"RM, RW",1996-12-14,82,24,1,6
286,Richarlison de Andrade,"ST, LW",1997-05-10,83,24,1,6
287,Marvin Oswaldo Rangel Azevedo,ST,1992-02-29,81,29,1,6
288,Nuno Ailton Padrenda Mendes,"CAM, CM, ST",1996-02-29,81,25,1,6
289,Welington Kauê Dano Nascimento,"LB, LM",2000-02-29,81,21,1,6
290,Lourival Adnan Beretta Barbosa,"ST, CF",1992-02-29,81,29,1,6
291,Rosberto J. Dourado Santos,"CDM, CM, CAM",2000-02-29,81,21,1,6
292,Adryan Juliano Zonta Torres,"LWB, LB",1992-02-29,81,29,1,6
293,Juan Everton Mestres de Mesquita,"CB, CDM",1996-02-29,81,25,1,6
294,Ben Chilwell,LB,1996-12-21,81,24,1,6
295,Christian Pulisic,"LW, RW, LM",1998-09-18,82,22,1,6
296,Marko Dmitrović,GK,1992-01-24,81,29,1,6
297,Benjamin Pavard,"RB, CB",1996-03-28,82,25,1,6
298,Mikel Merino Zazón,CM,1996-06-22,83,25,1,6
299,Gonçalo Manuel Ganchinho Guedes,"LM, ST, CAM",1996-11-29,81,24,1,6
300,Lucas Torreira Di Pascua,"CDM, CM",1996-02-11,82,25,1,6
301,Wout Weghorst,ST,1992-08-07,81,29,1,6
302,Éverton Sousa Soares,LM,1996-03-22,82,25,1,6
303,Naby Deco Keïta,CM,1995-02-10,83,26,1,6
304,Davinson Sánchez Mina,CB,1996-06-12,83,25,1,6
305,James Maddison,"CAM, CM, LW",1996-11-23,83,24,1,6
306,Matteo Politano,"RM, RW, ST",1993-08-03,81,28,1,6
307,Youri Tielemans,CM,1997-05-07,83,24,1,6
308,Iñaki Williams Arthuer,"ST, RW",1994-06-15,83,27,1,6
309,Ander Capa Rodríguez,RB,1992-02-08,81,29,1,6
310,Ignacio Martín Fernández,"CM, CAM",1990-01-12,81,31,1,6
311,Carlos Joaquín Correa,"CF, ST, CAM",1994-08-13,83,27,1,6
312,Walter Daniel Benítez,GK,1993-01-19,81,28,1,6
313,Thomas Lemar,"LM, CAM, RM",1995-11-12,84,25,1,6
314,Odisseas Vlachodimos,GK,1994-04-26,81,27,1,6
315,Jonathan Castro Otto,LWB,1994-03-03,81,27,1,6
316,Adrien Rabiot,"CM, CDM",1995-04-03,82,26,1,6
317,Frederico Rodrigues Santos,"CDM, CM",1993-03-05,82,28,1,6
318,Quincy Anton Promes,"CAM, LW, ST",1992-01-04,82,29,1,6
319,Marten de Roon,"CDM, CM",1991-03-29,81,30,1,6
320,Hakan Çalhanoğlu,"CAM, LW",1994-02-08,81,27,1,6
321,Josef Alexander Martínez,ST,1993-05-19,82,28,1,6
322,Kepa Arrizabalaga Revuelta,GK,1994-10-03,81,26,1,6
323,Luke Shaw,LB,1995-07-12,81,26,1,6
324,Esteban Maximiliano Andrada,GK,1991-01-26,81,30,1,6
325,Sébastien Haller,ST,1994-06-22,82,27,1,6
326,Alessio Cragno,GK,1994-06-28,81,27,1,6
327,Antonio Rüdiger,CB,1993-03-03,83,28,1,6
328,Arkadiusz Milik,ST,1994-02-28,83,27,1,6
329,Jordan Pickford,GK,1994-03-07,81,27,1,6
330,Benjamin Mendy,LB,1994-07-17,82,27,1,6
331,Stefan Savić,CB,1991-01-08,82,30,1,6
332,Eran Zahavi,"ST, LM",1987-07-25,81,34,1,6
333,Santiago Arias Naranjo,RB,1992-01-13,81,29,1,6
334,Alessandro Florenzi,RB,1991-03-11,81,30,1,6
335,Jesús Joaquín Fernández Sáez de la Torre,"RW, CAM",1993-11-19,82,27,1,6
336,Thomas Meunier,"RB, RM",1991-09-12,81,29,1,6
337,Felipe Anderson Pereira Gomes,"LM, CAM",1993-04-15,81,28,1,6
338,Matt Doherty,"RWB, RB",1992-01-16,81,29,1,6
339,Ismaily Gonçalves dos Santos,LB,1990-01-11,81,31,1,6
340,Kevin Volland,"ST, RW, LW",1992-07-30,81,29,1,6
341,Francisco Alcácer García,ST,1993-08-30,82,27,1,6
342,Jasper Cillessen,GK,1989-04-22,81,32,1,6
343,Jordi Masip López,GK,1989-01-03,81,32,1,6
344,Pablo Sarabia García,"RW, CAM",1992-05-11,81,29,1,6
345,Jonathan Viera Ramos,CAM,1989-10-01,81,31,1,6
346,Sebastián Coates Nión,CB,1990-10-07,81,30,1,6
347,Kevin Kampl,"CM, CDM, CAM",1990-10-09,81,30,1,6
348,Xherdan Shaqiri,RM,1991-10-10,81,29,1,6
349,Thomas Delaney,"CDM, CM",1991-09-03,82,29,1,6
350,Juan Guillermo Cuadrado Bello,"RB, RM, RW",1988-05-26,82,33,1,6
351,Mario Götze,"CAM, CM",1992-06-03,81,29,1,6
352,Eduardo Antonio Salvio,"RM, RW",1990-07-13,81,31,1,6
353,Taison Barcellos Freda,"LM, CAM",1988-01-13,81,33,1,6
354,Marlos Romero Bonfim,"RM, CAM",1988-06-07,81,33,1,6
355,Max Kruse,"CAM, ST",1988-03-19,81,33,1,6
356,Sami Khedira,"CM, CDM",1987-04-04,81,34,1,6
357,Javier Martínez Aginaga,"CDM, CB",1988-09-02,82,32,1,6
358,Sven Bender,CB,1989-04-27,81,32,1,6
359,Iván Marcano Sierra,CB,1987-06-23,81,34,1,6
360,Simon Luc Hildebert Mignolet,GK,1988-03-06,81,33,1,6
361,Marek Hamšík,"CM, CDM, CAM",1987-07-27,81,34,1,6
362,Łukasz Fabiański,GK,1985-04-18,81,36,1,6
363,Andrea Consigli,GK,1987-01-27,81,34,1,6
364,Franck Bilal Ribéry,"CF, LM, LW",1983-04-07,82,38,1,6
365,Héctor Miguel Herrera López,CM,1990-04-19,81,31,1,6
366,André-Pierre Gignac,"ST, CF",1985-12-05,81,35,1,6
367,Kléper Laveran de Lima Ferreira,CB,1983-02-26,81,38,1,6
368,Andrés Iniesta Luján,"CM, CAM",1984-05-11,82,37,1,6
369,Segundo Mandíquez,ST,1989-03-16,80,32,1,6
370,José María Sildero,"CAM, RM",1992-02-29,80,29,1,6
371,Egidio Maestre Schetino,CB,1992-02-29,80,29,1,6
372,Mauro Evidio Nérez,"LB, LM",1988-02-29,80,33,1,6
373,Luis Roberto Dálves,"ST, CF",1992-02-29,80,29,1,6
374,Saúl Marcelo Ardero,"CAM, LM, LW",1988-02-29,80,33,1,6
375,Matías David Baldona,"CDM, CM",1984-02-29,80,37,1,6
376,Jaime Nicolás Frendado,"CB, CDM",1984-02-29,80,37,1,6
377,Jorge Ezequiel Serendero,GK,1988-02-29,80,33,1,6
378,Viktor Tsygankov,RM,1997-11-15,81,23,1,6
379,Nikola Vlašić,CAM,1997-10-04,82,23,1,6
380,Éder Gabriel Militão,"CB, RB",1998-01-18,82,23,1,6
381,Maximiliano Gómez González,ST,1996-08-14,82,25,1,6
382,Vinícius José Paixão de Oliveira Júnior,LW,2000-07-12,81,21,1,6
383,David Neres Campos,"LW, RW, CAM",1997-03-03,83,24,1,6
384,Tanguy Ndombèlé Alvaro,"CM, CDM",1996-12-28,82,24,1,6
385,Dean Henderson,GK,1997-03-12,80,24,1,6
386,Mason Mount,"CAM, CM, LW",1999-01-10,82,22,1,6
387,Mauro Wilney Arambarri Rosa,"CDM, CM",1995-09-30,81,25,1,6
388,Theo Bernard François Hernández,LB,1997-10-06,80,23,1,6
389,Luka Jović,ST,1997-12-23,82,23,1,6
390,Christopher Nkunku,"CAM, ST",1997-11-14,82,23,1,6
391,Çağlar Söyüncü,CB,1996-05-23,82,25,1,6
392,Unai Simón Mendibil,GK,1997-06-11,80,24,1,6
393,Tony Josimar Abranjes Meneses,CB,1988-02-29,80,33,1,6
394,Laureano Thomas Santeiro Marre,"CAM, LM, LW",2000-02-29,80,21,1,6
395,Héniton Enaldo Pires Tramontino,GK,1996-02-29,80,25,1,6
396,Maikel Renan Catarino Fagundes,"RB, RM",1996-02-29,80,25,1,6
397,Leon Bailey Butler,"LM, LW",1997-08-09,81,24,1,6
398,Mario Hermoso Canseco,CB,1995-06-18,82,26,1,6
